Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
VPS13C	15q22.2	22 (10.19%)	3 (1.99%)	2.36	1.227e-3	0.0826	Co-occurrence	
LYST	1q42.3	22 (10.19%)	3 (1.99%)	2.36	1.227e-3	0.0826	Co-occurrence	
CDCP1	3p21.31	22 (10.19%)	3 (1.99%)	2.36	1.227e-3	0.0826	Co-occurrence	
CNTNAP3	9p12	22 (10.19%)	3 (1.99%)	2.36	1.227e-3	0.0826	Co-occurrence	
PCDHAC2	5q31.3	22 (10.19%)	3 (1.99%)	2.36	1.227e-3	0.0826	Co-occurrence	
CFAP43	10q25.1	22 (10.19%)	3 (1.99%)	2.36	1.227e-3	0.0826	Co-occurrence	
ADAMTS20	12q12	52 (24.07%)	17 (11.26%)	1.10	1.266e-3	0.0826	Co-occurrence	
PKD1L2	16q23.2	27 (12.50%)	5 (3.31%)	1.92	1.272e-3	0.0826	Co-occurrence	
NALCN	13q32.3-q33.1	27 (12.50%)	5 (3.31%)	1.92	1.272e-3	0.0826	Co-occurrence	
SYT16	14q23.2	27 (12.50%)	5 (3.31%)	1.92	1.272e-3	0.0826	Co-occurrence	
ACE	17q23.3	27 (12.50%)	5 (3.31%)	1.92	1.272e-3	0.0826	Co-occurrence	
CHD7	8q12.2	27 (12.50%)	5 (3.31%)	1.92	1.272e-3	0.0826	Co-occurrence	
MYCBP2	13q22.3	27 (12.50%)	5 (3.31%)	1.92	1.272e-3	0.0826	Co-occurrence	
NLRP10	11p15.4	27 (12.50%)	5 (3.31%)	1.92	1.272e-3	0.0826	Co-occurrence	
ZNF534	19q13.41	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
SLC5A12	11p14.2	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
ABCC1	16p13.11	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
NFATC1	18q23	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
NFATC4	14q12	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
OR2M4	1q44	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
FBXO15	18q22.3	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
SETX	9q34.13	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
OR13C5	9q31.1	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
ADAMTS13	9q34.2	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
OR10C1	6p22.1	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
NUP214	9q34.13	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
AP3B2	15q25.2	16 (7.41%)	1 (0.66%)	3.48	1.289e-3	0.0826	Co-occurrence	
ANK2	4q25-q26	36 (16.67%)	9 (5.96%)	1.48	1.292e-3	0.0826	Co-occurrence	
MYOM2	8p23.3	36 (16.67%)	9 (5.96%)	1.48	1.292e-3	0.0826	Co-occurrence	
CDH10	5p14.2-p14.1	36 (16.67%)	9 (5.96%)	1.48	1.292e-3	0.0826	Co-occurrence	
TNR	1q25.1	50 (23.15%)	16 (10.60%)	1.13	1.312e-3	0.0826	Co-occurrence	
ADGRL2	1p31.1	38 (17.59%)	10 (6.62%)	1.41	1.347e-3	0.0826	Co-occurrence	
STK31	7p15.3	38 (17.59%)	10 (6.62%)	1.41	1.347e-3	0.0826	Co-occurrence	
COL14A1	8q24.12	38 (17.59%)	10 (6.62%)	1.41	1.347e-3	0.0826	Co-occurrence	
CDH13	16q23.3	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
IL36B	2q14.1	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
SAMD3	6q23.1	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
CATSPERD	19p13.3	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
AFF2	Xq28	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
NR5A2	1q32.1	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
MTCL1	18p11.22	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
PCDHA13	5q31.3	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
AK7	14q32.2	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
KIR2DL1	19q13.42	19 (8.80%)	2 (1.32%)	2.73	1.348e-3	0.0826	Co-occurrence	
PKHD1	6p12.3-p12.2	40 (18.52%)	11 (7.28%)	1.35	1.381e-3	0.0837	Co-occurrence	
PLCE1	10q23.33	40 (18.52%)	11 (7.28%)	1.35	1.381e-3	0.0837	Co-occurrence	
PCLO	7q21.11	108 (50.00%)	51 (33.77%)	0.57	1.381e-3	0.0837	Co-occurrence	
KCNH7	2q24.2	42 (19.44%)	12 (7.95%)	1.29	1.395e-3	0.0843	Co-occurrence	
RYR1	19q13.2	66 (30.56%)	25 (16.56%)	0.88	1.459e-3	0.0863	Co-occurrence	
MAP1A	15q15.3	29 (13.43%)	6 (3.97%)	1.76	1.475e-3	0.0863	Co-occurrence	
KCND2	7q31.31	29 (13.43%)	6 (3.97%)	1.76	1.475e-3	0.0863	Co-occurrence	
MGAM	7q34	86 (39.81%)	37 (24.50%)	0.70	1.481e-3	0.0863	Co-occurrence	
NAT2	8p22	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
NFX1	9p13.3	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
CDH24	14q11.2	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
FAM71A	1q32.3	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
ANGPT4	20p13	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
TXNDC2	18p11.22	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
ATP11A	13q34	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
EHBP1	2p15	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
OR9Q1	11q12.1	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
ZBP1	20q13.31	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
AKR1B10	7q33	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
SF3B2	11q13.1	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
OR6N2	1q23.1	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
FILIP1L	3q12.1	12 (5.56%)	0 (0.00%)	>10	1.518e-3	0.0863	Co-occurrence	
C12ORF50	12q21.32	24 (11.11%)	4 (2.65%)	2.07	1.594e-3	0.0886	Co-occurrence	
ANO3	11p14.3-p14.2	24 (11.11%)	4 (2.65%)	2.07	1.594e-3	0.0886	Co-occurrence	
MARCH10	17q23.2	24 (11.11%)	4 (2.65%)	2.07	1.594e-3	0.0886	Co-occurrence	
GALNT14	2p23.1	24 (11.11%)	4 (2.65%)	2.07	1.594e-3	0.0886	Co-occurrence	
ADGRE1	19p13.3-p13.2	24 (11.11%)	4 (2.65%)	2.07	1.594e-3	0.0886	Co-occurrence	
SIGLEC1	20p13	24 (11.11%)	4 (2.65%)	2.07	1.594e-3	0.0886	Co-occurrence	
SLITRK4	Xq27.3	24 (11.11%)	4 (2.65%)	2.07	1.594e-3	0.0886	Co-occurrence	
BRINP2	1q25.2	31 (14.35%)	7 (4.64%)	1.63	1.642e-3	0.0907	Co-occurrence	
EFCAB6	22q13.2-q13.31	31 (14.35%)	7 (4.64%)	1.63	1.642e-3	0.0907	Co-occurrence	
RYR2	1q43	62 (28.70%)	23 (15.23%)	0.91	1.695e-3	0.0933	Co-occurrence	
CMYA5	5q14.1	51 (23.61%)	17 (11.26%)	1.07	1.754e-3	0.0963	Co-occurrence	
KSR2	12q24.22-q24.23	33 (15.28%)	8 (5.30%)	1.53	1.772e-3	0.0967	Co-occurrence	
FBN2	5q23.3	33 (15.28%)	8 (5.30%)	1.53	1.772e-3	0.0967	Co-occurrence	
LRRC7	1p31.1	35 (16.20%)	9 (5.96%)	1.44	1.868e-3	0.0978	Co-occurrence	
TPO	2p25.3	35 (16.20%)	9 (5.96%)	1.44	1.868e-3	0.0978	Co-occurrence	
NOS1	12q24.22	47 (21.76%)	15 (9.93%)	1.13	1.882e-3	0.0978	Co-occurrence	
FAM83B	6p12.1	47 (21.76%)	15 (9.93%)	1.13	1.882e-3	0.0978	Co-occurrence	
USH2A	1q41	77 (35.65%)	32 (21.19%)	0.75	1.884e-3	0.0978	Co-occurrence	
MYOM1	18p11.31	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
PCDHB16	5q31.3	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
PIWIL1	12q24.33	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
GON4L	1q22	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
P3H2	3q28	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
PLCG2	16q23.3	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
CACNA2D4	12p13.33	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
UGT2B11	4q13.2	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
ADAMTS10	19p13.2	21 (9.72%)	3 (1.99%)	2.29	1.917e-3	0.0978	Co-occurrence	
ANKRD11	16q24.3	26 (12.04%)	5 (3.31%)	1.86	1.918e-3	0.0978	Co-occurrence	
KL	13q13.1	26 (12.04%)	5 (3.31%)	1.86	1.918e-3	0.0978	Co-occurrence	
SERPINI2	3q26.1	26 (12.04%)	5 (3.31%)	1.86	1.918e-3	0.0978	Co-occurrence	
UNC13A	19p13.11	26 (12.04%)	5 (3.31%)	1.86	1.918e-3	0.0978	Co-occurrence	
BPTF	17q24.2	26 (12.04%)	5 (3.31%)	1.86	1.918e-3	0.0978	Co-occurrence	
COBL	7p12.1	26 (12.04%)	5 (3.31%)	1.86	1.918e-3	0.0978	Co-occurrence	
TRPC6	11q22.1	26 (12.04%)	5 (3.31%)	1.86	1.918e-3	0.0978	Co-occurrence	
LEPR	1p31.3	26 (12.04%)	5 (3.31%)	1.86	1.918e-3	0.0978	Co-occurrence	
TMC5	16p12.3	43 (19.91%)	13 (8.61%)	1.21	1.961e-3	0.0994	Co-occurrence	
ADGRV1	5q14.3	88 (40.74%)	39 (25.83%)	0.66	2.078e-3	0.0994	Co-occurrence	
KRT36	17q21.2	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
C1ORF87	1p32.1	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
TRIM71	3p22.3	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
LGI1	10q23.33	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
ADAMTSL4	1q21.2	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
GLP2R	17p13.1	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
SEC31B	10q24.31	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
NPR1	1q21.3	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
UPF2	10p14	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
SLC4A7	3p24.1	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
MUC21	6p21.33	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
MARF1	16p13.11	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
TTLL2	6q27	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
CATSPER4	1p36.11	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
DOCK1	10q26.2	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
ZNF366	5q13.2|5q13.2	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
OR11H6	14q11.2	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
ANXA10	4q32.3	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
ESPNL	2q37.3	15 (6.94%)	1 (0.66%)	3.39	2.128e-3	0.0994	Co-occurrence	
DDI1	11q22.3	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
SGMS1	10q11.23	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
PLA2G4E	15q15.1	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
ATP1A2	1q23.2	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
SEMA3D	7q21.11	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
KIAA1551	12p11.21	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
CNGB1	16q21	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
ZNF285	19q13.31	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
CYP3A7	7q22.1	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
PRKG2	4q21.21	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
OR7D4	19p13.2	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
PLXNC1	12q22	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
ADAM30	1p12	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
CEP250	20q11.22	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
LRP5	11q13.2	18 (8.33%)	2 (1.32%)	2.65	2.154e-3	0.0994	Co-occurrence	
C6	5p13.1	54 (25.00%)	19 (12.58%)	0.99	2.184e-3	0.0997	Co-occurrence	
CDH8	16q21	28 (12.96%)	6 (3.97%)	1.71	2.190e-3	0.0997	Co-occurrence	
F13B	1q31.3	28 (12.96%)	6 (3.97%)	1.71	2.190e-3	0.0997	Co-occurrence	
SYNE2	14q23.2	28 (12.96%)	6 (3.97%)	1.71	2.190e-3	0.0997	Co-occurrence	
PLB1	2p23.2	28 (12.96%)	6 (3.97%)	1.71	2.190e-3	0.0997	Co-occurrence	
PLCB4	20p12.3-p12.2	52 (24.07%)	18 (11.92%)	1.01	2.301e-3	0.104	Co-occurrence	
ENPEP	4q25	30 (13.89%)	7 (4.64%)	1.58	2.406e-3	0.107	Co-occurrence	
SLC26A9	1q32.1	23 (10.65%)	4 (2.65%)	2.01	2.433e-3	0.107	Co-occurrence	
SIGLEC6	19q13.41	23 (10.65%)	4 (2.65%)	2.01	2.433e-3	0.107	Co-occurrence	
GPLD1	6p22.3	23 (10.65%)	4 (2.65%)	2.01	2.433e-3	0.107	Co-occurrence	
TDRD1	10q25.3	23 (10.65%)	4 (2.65%)	2.01	2.433e-3	0.107	Co-occurrence	
TTBK1	6p21.1	23 (10.65%)	4 (2.65%)	2.01	2.433e-3	0.107	Co-occurrence	
PCSK5	9q21.13	48 (22.22%)	16 (10.60%)	1.07	2.515e-3	0.107	Co-occurrence	
UBR4	1p36.13	32 (14.81%)	8 (5.30%)	1.48	2.568e-3	0.107	Co-occurrence	
IL7R	5p13.2	32 (14.81%)	8 (5.30%)	1.48	2.568e-3	0.107	Co-occurrence	
DEFB115	20q11.21	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
OSBPL5	11p15.4	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
ARMC12	6p21.31	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
OR10A5	11p15.4	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
USP37	2q35	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
KMO	1q43	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
SYT7	11q12.2	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
FOXK1	7p22.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
HNRNPM	19p13.2	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
SLC13A5	17p13.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
ZNF451	6p12.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
TESMIN	11q13.3	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
ZNF516	18q23	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
UBAP2L	1q21.3	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
MCPH1	8p23.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
ZSCAN31	6p22.1|6p22.3-p22.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
FSCB	14q21.2	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
SEMA3F	3p21.31	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
LARS	5q32	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
CFAP69	7q21.13	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
MRGPRX2	11p15.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
DOCK5	8p21.2	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
CSRNP3	2q24.3	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
OR2Y1	5q35.3	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
IGHV1-24	14q32.33	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
THPO	3q27.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
KHDC1	6q13	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
KPNA6	1p35.2	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
TUB	11p15.4	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
KCNA4	11p14.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
ZPBP	7p12.2	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
SLAMF9	1q23.2	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
LCA5	6q14.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
JPH2	20q13.12	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
POLR3A	10q22.3	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
ALDH5A1	6p22.3	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
LALBA	12q13.11	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
GPR176	15q14-q15.1	11 (5.09%)	0 (0.00%)	>10	2.636e-3	0.107	Co-occurrence	
TRRAP	7q22.1	34 (15.74%)	9 (5.96%)	1.40	2.681e-3	0.108	Co-occurrence	
DSG3	18q12.1	44 (20.37%)	14 (9.27%)	1.14	2.682e-3	0.108	Co-occurrence	
TENM4	11q14.1	42 (19.44%)	13 (8.61%)	1.18	2.739e-3	0.109	Co-occurrence	
ANO4	12q23.1	42 (19.44%)	13 (8.61%)	1.18	2.739e-3	0.109	Co-occurrence	
GRID2	4q22.1-q22.2	42 (19.44%)	13 (8.61%)	1.18	2.739e-3	0.109	Co-occurrence	
KMT2A	11q23.3	36 (16.67%)	10 (6.62%)	1.33	2.749e-3	0.109	Co-occurrence	
COL1A1	17q21.33	36 (16.67%)	10 (6.62%)	1.33	2.749e-3	0.109	Co-occurrence	
XIRP1	3p22.2	36 (16.67%)	10 (6.62%)	1.33	2.749e-3	0.109	Co-occurrence	
LCT	2q21.3	36 (16.67%)	10 (6.62%)	1.33	2.749e-3	0.109	Co-occurrence	
KMT2C	7q36.1	40 (18.52%)	12 (7.95%)	1.22	2.772e-3	0.109	Co-occurrence	
ERC2	3p14.3	40 (18.52%)	12 (7.95%)	1.22	2.772e-3	0.109	Co-occurrence	
EPPK1	8q24.3	40 (18.52%)	12 (7.95%)	1.22	2.772e-3	0.109	Co-occurrence	
RPTN	1q21.3	40 (18.52%)	12 (7.95%)	1.22	2.772e-3	0.109	Co-occurrence	
SAMD9L	7q21.2	38 (17.59%)	11 (7.28%)	1.27	2.777e-3	0.109	Co-occurrence	
TENM1	Xq25	55 (25.46%)	20 (13.25%)	0.94	2.799e-3	0.109	Co-occurrence	
SCN10A	3p22.2	62 (28.70%)	24 (15.89%)	0.85	2.856e-3	0.110	Co-occurrence	
DPP10	2q14.1	25 (11.57%)	5 (3.31%)	1.81	2.872e-3	0.110	Co-occurrence	
NPC1L1	7p13	25 (11.57%)	5 (3.31%)	1.81	2.872e-3	0.110	Co-occurrence	
SNTG2	2p25.3	25 (11.57%)	5 (3.31%)	1.81	2.872e-3	0.110	Co-occurrence	
NPAS4	11q13.2	25 (11.57%)	5 (3.31%)	1.81	2.872e-3	0.110	Co-occurrence	
DNER	2q36.3	25 (11.57%)	5 (3.31%)	1.81	2.872e-3	0.110	Co-occurrence	
SCNN1G	16p12.2	25 (11.57%)	5 (3.31%)	1.81	2.872e-3	0.110	Co-occurrence	
BTBD11	12q23.3	25 (11.57%)	5 (3.31%)	1.81	2.872e-3	0.110	Co-occurrence	
RPGRIP1	14q11.2	25 (11.57%)	5 (3.31%)	1.81	2.872e-3	0.110	Co-occurrence	
XKR4	8q12.1	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
SERPINB7	18q21.33	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
GBA3	4p15.2	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
TAOK2	16p11.2	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
C1S	12p13.31	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
CFAP46	10q26.3	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
CD33	19q13.41	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
OR5H2	3q11.2	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
SPTLC3	20p12.1	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
PPL	16p13.3	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
NOD2	16q12.1	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
HHIPL2	1q41	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
KDM3B	5q31.2	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
FRYL	4p11	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
OR10J3	1q23.2	20 (9.26%)	3 (1.99%)	2.22	2.973e-3	0.110	Co-occurrence	
DSCAM	21q22.2	80 (37.04%)	35 (23.18%)	0.68	3.207e-3	0.111	Co-occurrence	
A1CF	10q11.23	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
ARHGAP29	1p22.1	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
PATJ	1p31.3	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
NUP210	3p25.1	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
PLCL2	3p24.3	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
PCDHA5	5q31.3	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
ADAMTS16	5p15.32	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
NLRP7	19q13.42	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
CGNL1	15q21.3	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
OR4C15	11q11	27 (12.50%)	6 (3.97%)	1.65	3.227e-3	0.111	Co-occurrence	
DNAH17	17q25.3	49 (22.69%)	17 (11.26%)	1.01	3.295e-3	0.111	Co-occurrence	
FAT3	11q14.3	75 (34.72%)	32 (21.19%)	0.71	3.300e-3	0.111	Co-occurrence	
BRWD3	Xq21.1	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
RGS9	17q24.1	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
IL1RAPL2	Xq22.3	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
LONRF2	2q11.2	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
BCAS3	17q23.2	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
STEAP4	7q21.12	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
SLC35F4	14q22.3-q23.1	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
RGL1	1q25.3	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
LRRC4B	19q13.33	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
TMC1	9q21.13	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
TNS4	17q21.2	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
TTC3	21q22.13	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
RNF152	18q21.33	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
ABCC11	16q12.1	17 (7.87%)	2 (1.32%)	2.57	3.418e-3	0.111	Co-occurrence	
