Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
MIR5047	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MIR633	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MIR634	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MRC2	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
MRPL14	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
NACA2	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
PLEKHM1P1	17q24.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
PNPLA1	6p21.31	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
POLG2	17q23.3	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
POLR1C	6p21.1	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
PPM1D	17q23.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
PRKCA	17q24.2	15 (6.98%)	0 (0.00%)	>10	2.664e-4	0.0208	Co-occurrence<Significant>	
TRIM27	6p22.1	18 (8.37%)	1 (0.66%)	3.67	4.291e-4	0.0243	Co-occurrence<Significant>	
HCG14	6p22.1	18 (8.37%)	1 (0.66%)	3.67	4.291e-4	0.0243	Co-occurrence<Significant>	
TOMM6	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TRIM37	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TTBK1	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
USP49	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
VEGFA	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
VPS52	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
WDR46	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
YPEL2	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
ZBTB22	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
ZNF318	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
FOXP4	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
FRS3	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
GDPD1	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
GNMT	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
GTPBP2	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
HCG24	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
HCG25	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
HSD17B8	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
HSF5	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
HSP90AB1	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
KCNK16	6p21.2	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
KCNK17	6p21.2	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
KIF6	6p21.2	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
KIFC1	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
KLC4	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
KLHDC3	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SCUBE3	6p21.31	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SEPT4	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SKA2	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SLC22A7	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SLC29A1	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SLC35B2	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SLC39A7	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SMG8	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SRF	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SRPK1	6p21.31	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SUPT4H1	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
SYNGAP1	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TAPBP	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TBCC	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TCP11	6p21.31	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TCTE1	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TDRG1	6p21.2	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TEX14	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TFEB	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TMEM151B	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PRPH2	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PRR11	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PTCRA	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PTK7	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PTRH2	17q23.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RAD51C	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RGL2	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RING1	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RN7SL285P	6p21.2	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RN7SL403P	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RN7SL404P	17q24.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RN7SL716P	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RNF43	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RNY4P10	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RPS18	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RRP36	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RSPH9	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
RXRB	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
AARS2	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
ARMC12	6p21.31	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
B3GALT4	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
BRD2	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
BYSL	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TSPOAP1	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
C17ORF47	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
C6ORF223	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CCND3	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CLPS	6p21.31	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CLPSL1	6p21.31	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CLPSL2	6p21.31	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CLTC	17q23.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CNPY3	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
COL11A2	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CRIP3	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CUL7	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CUL9	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
CUTA	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
DAXX	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
DHX40	17q23.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
DNPH1	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
DYNLL2	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
EPX	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
LHFPL5	6p21.31	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
LINC00951	6p21.2	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
LPO	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
LRFN2	6p21.2-p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
LRRC37A3	17q24.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MAD2L1BP	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MDFI	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MEA1	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MED20	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MIR142	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MIR301A	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MIR454	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MIR4641	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MIR4647	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MIR4729	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MIR4736	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MIR5004	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MKS1	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MPO	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MRPL2	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MRPS18A	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MRPS23	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
MTMR4	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
NFKBIE	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
OR4D1	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
OR4D2	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PEX6	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PFDN6	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PGC	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PHF1	6p21.32	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
POLH	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PPM1E	17q22	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PPP2R5D	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
PRICKLE4	6p21.1	14 (6.51%)	0 (0.00%)	>10	4.678e-4	0.0243	Co-occurrence<Significant>	
TRIM31	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
TRIM40	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
UBD	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
ZBED9	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
ZFP57	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
ZNF322	6p22.2	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
ZNRD1	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
ZSCAN12	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
ZSCAN23	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
GABBR1	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
GPX5	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
GPX6	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
GUSBP2	6p22.2	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
HCG9	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
SNORD32B	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
RNF39	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
LINC00533	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
MAS1L	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
MOG	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
OR10C1	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
OR11A1	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
OR12D1	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
OR2H1	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
OR2H2	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
PPP1R11	6p22.1	17 (7.91%)	1 (0.66%)	3.59	7.193e-4	0.0349	Co-occurrence<Significant>	
UQCC2	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
ZBTB9	6p21.32	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
GGNBP1	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
IP6K3	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
ITPR3	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
SPATS1	6p21.1	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
SUPT3H	6p21.1	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
RN7SKP94	17q22	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
RN7SL26P	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
RN7SL449P	17q22	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
RUNX2	6p21.1	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
BAK1	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
CDC5L	6p21.1	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
DAAM2	6p21.2	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
LEMD2	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
LINC00336	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
MEGF8	19q13.2	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
MIR1275	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
MIR3934	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
MIR4642	6p21.1	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
MIR586	6p21.1	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
MLN	6p21.31	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
MOCS1	6p21.2	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
MSI2	17q22	13 (6.05%)	0 (0.00%)	>10	8.198e-4	0.0375	Co-occurrence<Significant>	
TRI-TAT2-2	6p22.2	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
TRI-TAT2-3	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
TRIM10	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
TRIM15	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
TRIM26	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
WDR45B	17q25.3	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZKSCAN3	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZKSCAN4	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZKSCAN8	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZNF165	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZNF184	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZNF192P1	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZNF391	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZSCAN12P1	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZSCAN16	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZSCAN31	6p22.1|6p22.3-p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
ZSCAN9	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
FN3K	17q25.3	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
FN3KRP	17q25.3	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
FOXK2	17q25.3	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
GGA3	17q25.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HCG11	6p22.2	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HEXDC	17q25.3	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H1A	6p22.2	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H1B	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2AG	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2AH	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2AI	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2AJ	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2AK	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2AL	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2AM	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2BJ	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2BK	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2BL	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2BM	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2BN	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H2BO	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H3H	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H3I	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H3J	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H4I	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H4J	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H4K	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HIST1H4L	6p22.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
HMGN4	6p22.2	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
KCTD2	17q25.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
SLC16A5	17q25.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
SLC25A19	17q25.1	16 (7.44%)	1 (0.66%)	3.50	1.200e-3	0.0466	Co-occurrence<Significant>	
